timestamp,trial,trial_phase,gaze_x,gaze_y,left_iris_radius,right_iris_radius,head_pose,blink_state,target_x,target_y,used_in_model
1783011675574,4,figure8,,,0.0,0.0,"[-0.01206988384693286, 0.09926891865105969, -0.1508446766956918]",0,114.20415727026304,209.87411114454451,False
1783011675590,4,figure8,,,0.0,0.0,"[-0.01206988384693286, 0.09926891865105969, -0.1508446766956918]",0,115.3117776727145,207.33538911654762,False
1783011675605,4,figure8,,,0.0,0.0,"[-0.01206988384693286, 0.09926891865105969, -0.1508446766956918]",0,116.4395546793562,204.94233369631272,False
1783011675634,4,figure8,,,0.0,0.0,"[-0.00936850877429618, 0.10076154556349182, -0.1539321822374803]",0,118.76780581699569,200.5050596657731,False
1783011675637,4,figure8,,,0.0,0.0,"[-0.00936850877429618, 0.10076154556349182, -0.1539321822374803]",0,119.00183040645112,200.09150155807836,False
1783011675667,4,figure8,,,0.0,0.0,"[-0.0175121855244037, 0.10013168869313815, -0.1554556968840038]",0,121.58877939476841,195.85182805188276,False
1783011675670,4,figure8,,,0.0,0.0,"[-0.0175121855244037, 0.10013168869313815, -0.1554556968840038]",0,121.89188804101207,195.39130690410525,False
1783011675686,4,figure8,,,0.0,0.0,"[-0.0175121855244037, 0.10013168869313815, -0.1554556968840038]",0,123.36190368056828,193.253210129015,False
1783011675701,4,figure8,,,0.0,0.0,"[-0.0175121855244037, 0.10013168869313815, -0.1554556968840038]",0,124.89293555018992,191.18102196735393,False
1783011675717,4,figure8,,,0.0,0.0,"[-0.0175121855244037, 0.10013168869313815, -0.1554556968840038]",0,126.52617954162827,189.12648281325852,False
1783011675752,4,figure8,,,0.0,0.0,"[-0.023329118993941245, 0.09622577857668324, -0.14476744611626177]",0,130.26262544198687,184.95098614555053,False
1783011675766,4,figure8,,,0.0,0.0,"[-0.023329118993941245, 0.09622577857668324, -0.14476744611626177]",0,131.88488488034872,183.33739698877235,False
1783011675799,4,figure8,,,0.0,0.0,"[-0.02475910872279513, 0.09637341007626021, -0.14939758461656438]",0,135.85466578521346,179.8245544526676,False
1783011675814,4,figure8,,,0.0,0.0,"[-0.02475910872279513, 0.09637341007626021, -0.14939758461656438]",0,137.68850861564871,178.38892421433792,False
1783011675829,4,figure8,,,0.0,0.0,"[-0.02475910872279513, 0.09637341007626021, -0.14939758461656438]",0,139.7295057767268,176.91603719855306,False
1783011675867,4,figure8,,,0.0,0.0,"[-0.025259308761137467, 0.09936927620386038, -0.15861993242004996]",0,144.8191845028275,173.75755783693347,False
1783011675878,4,figure8,,,0.0,0.0,"[-0.025259308761137467, 0.09936927620386038, -0.15861993242004996]",0,146.35505845099885,172.9352951762377,False
1783011675894,4,figure8,,,0.0,0.0,"[-0.025259308761137467, 0.09936927620386038, -0.15861993242004996]",0,148.62888442823106,171.81942686287545,False
1783011675910,4,figure8,,,0.0,0.0,"[-0.025259308761137467, 0.09936927620386038, -0.15861993242004996]",0,150.9882256394098,170.7822532291973,False
1783011675939,4,figure8,,,0.0,0.0,"[-0.030961364999283647, 0.093986601004442, -0.15556514443585495]",0,155.47013186839396,169.12374081990407,False
1783011675942,4,figure8,,,0.0,0.0,"[-0.030961364999283647, 0.093986601004442, -0.15556514443585495]",0,155.90676321040306,168.98267453881937,False
1783011675958,4,figure8,,,0.0,0.0,"[-0.030961364999283647, 0.093986601004442, -0.15556514443585495]",0,158.37018054795513,168.25101578344942,False
1783011675992,4,figure8,,,0.0,0.0,"[-0.02669515007157408, 0.09687974759245144, -0.1571200167260173]",0,163.98398519026705,166.9657967288348,False
1783011676006,4,figure8,,,0.0,0.0,"[-0.02669515007157408, 0.09687974759245144, -0.1571200167260173]",0,166.3898452965894,166.56563882900213,False
