Model,Fold,Accuracy,Balanced_Accuracy,Precision,Recall,Specificity,F1_Score,ROC_AUC,PR_AUC,Ablation_Group
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.915079365079365,D_Pupil_only
Logistic_Regression,3,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.41666666666666663,0.8134920634920635,D_Pupil_only
Logistic_Regression,4,0.5,0.4,0.5714285714285714,0.8,0.0,0.6666666666666666,0.4,0.7392857142857143,D_Pupil_only
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8583333333333333,D_Pupil_only
Random_Forest,1,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.7638888888888887,D_Pupil_only
Random_Forest,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.6666666666666667,0.8972222222222221,D_Pupil_only
Random_Forest,3,0.5,0.5,0.75,0.5,0.5,0.6,0.37499999999999994,0.7638888888888887,D_Pupil_only
Random_Forest,4,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6333333333333333,0.7595238095238095,D_Pupil_only
Random_Forest,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.5666666666666667,0.7783333333333333,D_Pupil_only
XGBoost,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.41666666666666663,0.7944444444444444,D_Pupil_only
XGBoost,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.7083333333333333,0.8972222222222223,D_Pupil_only
XGBoost,3,0.5,0.5,0.75,0.5,0.5,0.6,0.4583333333333333,0.7777777777777778,D_Pupil_only
XGBoost,4,0.75,0.7333333333333334,0.8,0.8,0.6666666666666666,0.8,0.7666666666666667,0.8628571428571429,D_Pupil_only
XGBoost,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.7333333333333334,0.8357142857142857,D_Pupil_only
Logistic_Regression,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.5833333333333333,0.8773809523809524,E_Gaze_and_Pupil
Logistic_Regression,2,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.75,0.915079365079365,E_Gaze_and_Pupil
Logistic_Regression,3,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.41666666666666663,0.8134920634920635,E_Gaze_and_Pupil
Logistic_Regression,4,0.375,0.3,0.5,0.6,0.0,0.5454545454545454,0.33333333333333337,0.6726190476190477,E_Gaze_and_Pupil
Logistic_Regression,5,0.625,0.5666666666666667,0.6666666666666666,0.8,0.3333333333333333,0.7272727272727273,0.6666666666666667,0.8583333333333333,E_Gaze_and_Pupil
Random_Forest,1,0.75,0.5,0.75,1.0,0.0,0.8571428571428571,0.8333333333333333,0.9484126984126984,E_Gaze_and_Pupil
Random_Forest,2,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,0.625,0.8178571428571427,E_Gaze_and_Pupil
Random_Forest,3,0.375,0.41666666666666663,0.6666666666666666,0.3333333333333333,0.5,0.4444444444444444,0.37499999999999994,0.7638888888888887,E_Gaze_and_Pupil
Random_Forest,4,0.625,0.5,0.625,1.0,0.0,0.7692307692307693,0.7000000000000001,0.835,E_Gaze_and_Pupil
Random_Forest,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.6666666666666667,0.8261904761904763,E_Gaze_and_Pupil
XGBoost,1,0.625,0.5833333333333333,0.8,0.6666666666666666,0.5,0.7272727272727273,0.41666666666666663,0.7944444444444444,E_Gaze_and_Pupil
XGBoost,2,0.625,0.4166666666666667,0.7142857142857143,0.8333333333333334,0.0,0.7692307692307693,0.7083333333333333,0.8972222222222223,E_Gaze_and_Pupil
XGBoost,3,0.5,0.5,0.75,0.5,0.5,0.6,0.29166666666666663,0.6805555555555555,E_Gaze_and_Pupil
XGBoost,4,0.75,0.7333333333333334,0.8,0.8,0.6666666666666666,0.8,0.7666666666666667,0.8628571428571429,E_Gaze_and_Pupil
XGBoost,5,0.75,0.6666666666666666,0.7142857142857143,1.0,0.3333333333333333,0.8333333333333334,0.7333333333333334,0.8357142857142857,E_Gaze_and_Pupil
Logistic_Regression,1,0.875,0.75,0.8571428571428571,1.0,0.5,0.9230769230769231,1.0,1.0,F_Behavioral_and_RT
